
 Running on port 18601
ID: 30 Msg Type: 1
ID: 24 Msg Type: 3
ID: 20 Msg Type: 3
ID: 31 Msg Type: 1
ID: 32 Msg Type: 1
ID: 33 Msg Type: 1
ID: 34 Msg Type: 1
ID: 25 Msg Type: 2
ID: 29 Msg Type: 2
ID: 35 Msg Type: 1
ID: 28 Msg Type: 2
ID: 26 Msg Type: 2
ID: 25 Msg Type: 3
ID: 29 Msg Type: 3
ID: 30 Msg Type: 2
ID: 36 Msg Type: 1
ID: 28 Msg Type: 3
ID: 26 Msg Type: 3
ID: 31 Msg Type: 2
ID: 27 Msg Type: 2
ID: 30 Msg Type: 3
ID: 27 Msg Type: 3
ID: 31 Msg Type: 3
ID: 32 Msg Type: 2
ID: 37 Msg Type: 1
ID: 38 Msg Type: 1
ID: 32 Msg Type: 3
ID: 33 Msg Type: 2
ID: 39 Msg Type: 1
ID: 33 Msg Type: 3
ID: 34 Msg Type: 2
ID: 40 Msg Type: 1
ID: 35 Msg Type: 2
ID: 34 Msg Type: 3
ID: 41 Msg Type: 1
ID: 35 Msg Type: 3
ID: 36 Msg Type: 2
ID: 42 Msg Type: 1
ID: 37 Msg Type: 2
ID: 36 Msg Type: 3
ID: 43 Msg Type: 1
ID: 38 Msg Type: 2
ID: 37 Msg Type: 3
ID: 44 Msg Type: 1
ID: 38 Msg Type: 3
ID: 39 Msg Type: 2
ID: 45 Msg Type: 1
ID: 40 Msg Type: 2
ID: 39 Msg Type: 3
ID: 46 Msg Type: 1
ID: 40 Msg Type: 3
ID: 41 Msg Type: 2
ID: 47 Msg Type: 1
ID: 42 Msg Type: 2
ID: 41 Msg Type: 3
ID: 48 Msg Type: 1
ID: 43 Msg Type: 2
ID: 42 Msg Type: 3
ID: 49 Msg Type: 1
ID: 44 Msg Type: 2
ID: 43 Msg Type: 3
ID: 50 Msg Type: 1
ID: 44 Msg Type: 3
ID: 51 Msg Type: 1
ID: 46 Msg Type: 2
ID: 52 Msg Type: 1
ID: 47 Msg Type: 2
ID: 46 Msg Type: 3
ID: 53 Msg Type: 1
ID: 48 Msg Type: 2
ID: 47 Msg Type: 3
ID: 54 Msg Type: 1
ID: 48 Msg Type: 3
ID: 45 Msg Type: 2
ID: 55 Msg Type: 1
ID: 50 Msg Type: 2
ID: 45 Msg Type: 3
ID: 56 Msg Type: 1
ID: 50 Msg Type: 3
ID: 57 Msg Type: 1
ID: 58 Msg Type: 1
ID: 49 Msg Type: 2
ID: 59 Msg Type: 1
ID: 49 Msg Type: 3
ID: 60 Msg Type: 1
ID: 51 Msg Type: 2
ID: 61 Msg Type: 1
ID: 52 Msg Type: 2
ID: 51 Msg Type: 3
ID: 62 Msg Type: 1
ID: 52 Msg Type: 3
ID: 53 Msg Type: 2
ID: 63 Msg Type: 1
ID: 54 Msg Type: 2
ID: 53 Msg Type: 3
ID: 54 Msg Type: 3
ID: 55 Msg Type: 2
ID: 55 Msg Type: 3
ID: 56 Msg Type: 2
ID: 57 Msg Type: 2
ID: 56 Msg Type: 3
ID: 58 Msg Type: 2
ID: 57 Msg Type: 3
ID: 59 Msg Type: 2
ID: 58 Msg Type: 3
ID: 59 Msg Type: 3
ID: 60 Msg Type: 2
ID: 60 Msg Type: 3
ID: 61 Msg Type: 2
ID: 62 Msg Type: 2
ID: 61 Msg Type: 3
ID: 63 Msg Type: 2
ID: 62 Msg Type: 3
ID: 63 Msg Type: 3
Sending first message: 1692732213373
Fill/encryption time total: 15473628
Sending last message: 1692732214561
Data send time total: 1188016
ID: -1rs Msg Type: 4
